Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,btw_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_cancelled,avg_price_per_room,no_of_special_requests,booking_status
INN00017,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,10,5,0,0,0,96,0,kept
INN00108,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,2017,9,21,0,0,0,155,1,kept
INN00250,1,0,1,3,Meal Plan 1,0,Room_Type 1,0,2017,11,9,0,0,0,91,1,kept
INN00257,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,16,0,0,0,200,0,kept
INN00331,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,11,0,0,0,75,0,kept
INN00334,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,12,15,1,0,1,75,0,kept
INN00341,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,8,0,0,0,142,0,kept
INN00349,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,24,0,0,0,97,1,kept
INN00378,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,23,1,0,12,65,0,kept
INN00389,2,2,0,1,Meal Plan 1,0,Room_Type 6,0,2018,5,14,0,0,0,221,0,cancelled
INN00391,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,19,0,0,0,80,0,kept
INN00470,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,2017,12,27,0,0,0,58,0,kept
INN00503,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,10,17,0,0,0,95,0,kept
INN00534,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,2018,12,5,0,0,0,89.89,1,kept
INN00541,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,11,19,0,0,0,0,0,kept
INN00605,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,1,0,0,0,109,1,kept
INN00612,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,27,0,0,0,160,0,kept
INN00623,2,2,0,2,Meal Plan 1,0,Room_Type 6,0,2017,8,25,0,0,0,156,1,kept
INN00661,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,3,7,0,0,0,80,0,kept
INN00716,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,8,9,0,0,0,105,0,kept
INN00766,2,0,1,1,Meal Plan 1,0,Room_Type 4,0,2017,9,7,0,0,0,118.8,0,cancelled
INN00810,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,1,2,0,0,0,86,0,kept
INN00834,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,1,1,0,1,0,0,kept
INN00855,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,19,0,0,0,106,2,kept
INN00874,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,10,13,0,0,0,90,0,kept
INN00882,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,24,0,0,0,125.1,0,kept
INN00916,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,1,3,0,0,0,81,0,kept
INN00918,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,23,0,0,0,69.84,0,kept
INN00946,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,2018,3,8,0,0,0,75,0,cancelled
INN00947,3,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,8,20,0,0,0,168.3,2,kept
INN00989,2,0,1,0,Meal Plan 1,0,Room_Type 4,0,2017,8,3,0,0,0,0,0,kept
INN01006,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,20,1,0,2,0,0,kept
INN01069,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,5,9,0,0,0,103,1,kept
INN01118,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,27,0,0,0,160,0,kept
INN01151,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,5,0,0,0,133,1,cancelled
INN01154,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,8,5,0,0,0,80,0,kept
INN01206,1,0,0,1,Meal Plan 1,0,Room_Type 5,0,2018,7,14,0,0,0,140,0,kept
INN01290,1,0,0,2,Meal Plan 1,1,Room_Type 1,0,2018,3,2,0,0,0,55,1,kept
INN01405,1,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,9,28,1,0,2,110,1,kept
INN01425,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,19,0,0,0,111,0,kept
INN01491,1,0,2,7,Meal Plan 1,0,Room_Type 1,0,2017,8,25,0,0,0,0,0,kept
INN01503,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,9,12,0,0,0,159,1,kept
INN01562,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,14,1,11,4,81.9,0,kept
INN01576,1,0,1,1,Meal Plan 1,0,Room_Type 6,0,2018,3,21,1,0,20,0,2,kept
INN01614,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,9,16,0,0,0,95,0,kept
INN01643,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,21,0,0,0,121.5,1,kept
INN01698,3,0,1,0,Meal Plan 1,0,Room_Type 5,0,2018,8,8,0,0,0,188,0,kept
INN01715,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,14,0,0,0,111,1,kept
INN01726,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,11,0,0,0,124,1,kept
INN01745,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,11,23,1,0,1,65,0,kept
INN01779,3,0,0,1,Meal Plan 1,0,Room_Type 6,0,2018,5,10,0,0,0,153.15,0,kept
INN01787,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,2017,9,19,0,0,0,126,3,kept
INN01822,2,0,1,1,Meal Plan 1,0,Room_Type 4,0,2018,2,13,0,0,0,106,0,cancelled
INN01838,2,1,1,0,Meal Plan 1,0,Room_Type 1,0,2017,11,1,0,0,0,90.4,0,kept
INN01905,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2017,8,5,0,0,0,90,2,kept
INN01947,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,12,17,1,0,6,50,2,kept
INN02038,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,12,21,1,2,6,65,0,kept
INN02070,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,3,0,0,0,120,0,kept
INN02084,2,0,2,5,Meal Plan 1,0,Room_Type 1,0,2018,1,10,1,0,1,41.84,1,kept
INN02156,2,0,2,0,Meal Plan 1,0,Room_Type 1,0,2017,10,4,0,0,0,126,0,kept
INN02190,2,1,0,4,Meal Plan 1,0,Room_Type 1,0,2018,2,23,0,0,0,112,1,kept
INN02193,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,19,0,0,0,80,0,kept
INN02206,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,4,15,0,0,0,101,1,kept
INN02207,1,0,0,1,Meal Plan 1,0,Room_Type 2,0,2018,9,1,0,0,0,0,0,kept
INN02242,1,0,0,4,Meal Plan 1,0,Room_Type 4,0,2017,10,7,0,0,0,159.75,1,kept
INN02324,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,12,0,0,0,55.08,0,kept
INN02326,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,2017,9,15,0,0,0,93.6,0,kept
INN02344,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,6,26,0,0,0,105.3,0,kept
INN02410,2,2,2,2,Meal Plan 1,0,Room_Type 7,0,2018,7,8,0,0,0,265,0,cancelled
INN02514,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,1,26,0,0,0,79,0,kept
INN02528,0,2,0,1,Meal Plan 1,1,Room_Type 6,0,2018,4,8,0,0,0,6,0,kept
INN02564,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,18,0,0,0,140,0,kept
INN02728,1,0,1,0,Meal Plan 1,0,Room_Type 4,0,2018,1,4,0,0,0,108,1,kept
INN02773,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,2,0,0,0,72,0,kept
INN02780,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,28,0,0,0,45,2,kept
INN02835,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,3,21,1,0,6,65,1,kept
INN02904,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,11,2,0,0,0,104,1,kept
INN02948,2,1,1,0,Meal Plan 1,0,Room_Type 1,0,2018,7,10,0,0,0,15,0,kept
INN02976,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,5,0,0,0,135,1,kept
INN03051,1,0,0,1,Meal Plan 1,0,Room_Type 7,0,2018,5,4,1,4,15,0,1,kept
INN03070,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,3,20,0,0,0,139,0,kept
INN03081,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,3,2,1,0,1,65,0,kept
INN03130,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,2018,4,9,0,0,0,104,0,kept
INN03209,2,2,0,1,Meal Plan 1,0,Room_Type 6,0,2017,8,21,0,0,0,174,1,kept
INN03266,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,22,0,0,0,190,2,kept
INN03303,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,10,17,1,0,1,95,0,kept
INN03313,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,9,5,0,0,0,147.5,0,kept
INN03316,2,0,1,1,Meal Plan 1,0,Room_Type 2,0,2017,12,5,0,0,0,73.64,0,kept
INN03321,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,2,4,0,0,0,98.33,0,kept
INN03384,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,6,8,0,0,0,110,0,kept
INN03463,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,2017,9,20,1,0,5,0,1,kept
INN03471,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,2018,8,31,0,0,0,95,0,kept
INN03483,2,0,1,4,Meal Plan 1,0,Room_Type 1,0,2018,12,19,0,0,0,82.88,0,kept
